SessionID,CourseID,Type,Day,StartTime,EndTime,Room,InstructorID,InstructorName,Sections,StudentCount
S233,CNC418,Lecture,Thursday,12:30 PM,2:00 PM,Hall - Blue,P19,Dr. Hataba,"CSIT-4-CNC-s1, CSIT-4-CNC-s2, CSIT-4-CNC-s3",75
S268,BIF425,Lab,Thursday,12:30 PM,2:00 PM,B08 F1.11,A14,Eng. Nada Essam,CSIT-4-BIF-s1,15
S20,ECE111,Lab,Thursday,2:15 PM,3:45 PM,B08 F1.25,A02,ECE Department Staff,CSIT-1-s5,25
S47,PHY113,Lab,Thursday,2:15 PM,3:45 PM,B17 F1.18,A06,Eng. Fatima Ali,CSIT-1-s8,25
S49,LRA101,Lecture,Thursday,2:15 PM,3:45 PM,B17 F1.15,P40,Dr. Sherine Elmotasem,"CSIT-1-s1, CSIT-1-s2, CSIT-1-s3",75
S95,MTH212,Lab,Thursday,2:15 PM,3:45 PM,B17 F1.13,A01,BAS Department Staff,CSIT-2-s2,25
S113,ACM215,Lab,Thursday,2:15 PM,3:45 PM,B10 F1.07,A43,Eng. Ali Sato,CSIT-2-s8,25
S114,ACM215,Lab,Thursday,2:15 PM,3:45 PM,B10 F1.06,A44,Eng. Layla Zayd,CSIT-2-s9,25
S167,CNC314,Lab,Thursday,2:15 PM,3:45 PM,B09 F1.04,A16,Eng. Nourhan Waleed,CSIT-3-AID-s2,25
S174,CNC314,Lab,Thursday,2:15 PM,3:45 PM,B26 G.13,A33,Eng. Hana Tarek,CSIT-3-BIF-s1,15
S183,CNC312,Lecture,Thursday,2:15 PM,3:45 PM,B26 F1.16,P35,Dr. Reda Elbasiony ,"CSIT-3-CNC-s1, CSIT-3-CNC-s2, CSIT-3-CNC-s3",75
S213,AID427,Lecture,Thursday,2:15 PM,3:45 PM,B26 F1.08,P06,Dr. Ahmed Arafa,"CSIT-4-AID-s1, CSIT-4-AID-s2, CSIT-4-AID-s3",75
S229,CNC415,Lecture,Thursday,2:15 PM,3:45 PM,B07 G.01,P32,Dr. Mustafa AlSayed,"CSIT-4-CNC-s1, CSIT-4-CNC-s2, CSIT-4-CNC-s3",75
S241,CSC410,Lecture,Thursday,2:15 PM,3:45 PM,B18 F1.01,P28,Dr. Mohamed Khames,"CSIT-4-CSC-s1, CSIT-4-CSC-s2",40
S25,MTH111,Lecture,Thursday,9:00 AM,10:30 AM,B17 F1.16,P14,Dr. Ayman Arafa,"CSIT-1-s1, CSIT-1-s2, CSIT-1-s3",75
S32,MTH111,Lab,Thursday,9:00 AM,10:30 AM,B26 G.20,A01,BAS Department Staff,CSIT-1-s5,25
S67,CSC211,Lecture,Thursday,9:00 AM,10:30 AM,B26 G.21,P06,Dr. Ahmed Arafa,"CSIT-2-s1, CSIT-2-s2, CSIT-2-s3",75
S109,ACM215,Lab,Thursday,9:00 AM,10:30 AM,B26 G.13,A45,Eng. Yousef Said,CSIT-2-s4,25
S124,LRA403,Lab,Thursday,9:00 AM,10:30 AM,B07 F1.23,A40,Prof. Lina Morales,CSIT-2-s7,25
S149,ECE324,Lab,Thursday,9:00 AM,10:30 AM,B17 G.02,A02,ECE Department Staff,CSIT-3-CSC-s2,15
S179,CSC317,Lecture,Thursday,9:00 AM,10:30 AM,B26 G.08,P19,Dr. Hataba,"CSIT-3-AID-s1, CSIT-3-AID-s2, CSIT-3-AID-s3",75
S189,CSC317,Lab,Thursday,9:00 AM,10:30 AM,B08 G.41,A12,Eng. Menna Mahmoud,CSIT-3-CNC-s2,25
S217,AID428,Lecture,Thursday,9:00 AM,10:30 AM,B8 Theater,P07,Dr. Ahmed Bayumi,"CSIT-4-AID-s1, CSIT-4-AID-s2, CSIT-4-AID-s3",75
S240,CNC419,Lab,Thursday,9:00 AM,10:30 AM,B10 F1.11,A41,Eng. Omar Hassan,CSIT-4-CNC-s3,25
S256,CSC426,Lecture,Thursday,9:00 AM,10:30 AM,B18 F1.05,P32,Dr. Mustafa AlSayed,"CSIT-4-CSC-s1, CSIT-4-CSC-s2",40
S7,CSC111,Lab,Tuesday,10:45 AM,12:15 PM,B07 F1.22,A15,Eng. Nada Hamdy,CSIT-1-s4,25
S23,ECE111,Lab,Tuesday,10:45 AM,12:15 PM,B25 F1.14,A02,ECE Department Staff,CSIT-1-s8,25
S30,MTH111,Lab,Tuesday,10:45 AM,12:15 PM,B10 F1.18,A01,BAS Department Staff,CSIT-1-s3,25
S79,CSE214,Lecture,Tuesday,10:45 AM,12:15 PM,B17 G.09,P30,Prof. Mostafa Soliman,"CSIT-2-s1, CSIT-2-s2, CSIT-2-s3",75
S105,ACM215,Lecture,Tuesday,10:45 AM,12:15 PM,B17 F1.03,P04,Dr. Ahmed Abdel-Malk,"CSIT-2-s7, CSIT-2-s8, CSIT-2-s9",75
S121,LRA403,Lab,Tuesday,10:45 AM,12:15 PM,B17 F1.09,A40,Prof. Lina Morales,CSIT-2-s4,25
S122,LRA403,Lab,Tuesday,10:45 AM,12:15 PM,B25 F1.10,A38,Prof. Yumi Sato,CSIT-2-s5,25
S153,CNC311,Lecture,Tuesday,10:45 AM,12:15 PM,B26 F1.08,P38,Prof. Samir Ahmed,"CSIT-3-CNC-s3, CSIT-3-CSC-s1, CSIT-3-CSC-s2",65
S166,CNC314,Lab,Tuesday,10:45 AM,12:15 PM,B25 G.02,A20,Eng. Salma Alashry,CSIT-3-AID-s1,25
S168,CNC314,Lab,Tuesday,10:45 AM,12:15 PM,B18 G.20,A33,Eng. Hana Tarek,CSIT-3-AID-s3,25
S212,AID417,Lab,Tuesday,10:45 AM,12:15 PM,B26 G.06,A07,Eng. Fatma Elsayed,CSIT-4-AID-s3,25
